Comment,Designator,Footprint,LCSC Part #
1k,R6 R7 R8,R0603,
1k5,R5,R0603,
5K1,R1 R2,R0603,
60,R3 R4,R0603,
78L05F,U5,SOT89,
100n,C3 C4 C8 C9 C10 C13 C14,C0603,
470,R10 R12 R16,R0603,
5077CR-16SMC2-BK-TR,J2,NELTRON_5077CR-16SMC2-BK-TR,
CSTCE8M00G55,X1,CSTCE8M00G55,
EEEHA1E220P,C1,153CLV-0605,
GREEN,D1,CHIPLED_0805,
RED,D3,CHIPLED_0805,
STM32F302C,U1,LQFP48,
SWITCH_TACTILETOP,S1,SWITCH_TACTILE_3X6,
TLP291,U6,MINI-FLAT-4,
TPB1 27,TP1,B1 27,
TPB1 27,TP2,B1 27,
TPB1 27,TP3,B1 27,
TPB1 27,TP4,B1 27,
TPB1 27,TP5,B1 27,
YELLOW,D2,CHIPLED_0805,
